# [channelID] [Statistic] [Mean]   [MeanError] [Sigma]  [SigmaError]    [mu]     [Chi2/NDF] [FitStatus]     [DarkNoiseNum]  [alpha]     [w]        [Par0]   [LRange]
       0         7593     240.67      1.38      59.24       1.18    0.000876398   1.026504   CONVERGED         4521.39     0.010481   0.000772  25818534.53    70
       1         6382     163.06      1.14      35.58       1.01    0.000197427   1.249405   CONVERGED         3350.81     0.014442   0.000307  84879000.55    70
       2       121846     193.03      0.36      48.50       0.31    0.000221670   2.509905   CONVERGED        78432.41     0.011941   0.000195 1769518363.86    87
       3        44504     154.10      0.84      43.01       0.64    0.000352311   1.253362   CONVERGED        29232.19     0.014085   0.000324 415010099.22    80
       4         8371     173.80      1.32      42.25       1.08    0.000420698   1.031088   CONVERGED         4325.23     0.013746   0.000617  51427172.12    70
       5        24905     235.68      0.92      65.39       0.82    0.001041869   1.407612   CONVERGED        15428.44     0.007630   0.000718  74123642.79    70
       6         6014     224.35      1.53      56.66       1.37    0.000809846   0.929884   CONVERGED         3589.38     0.010646   0.000695  22179191.28    70
       7         8724     219.50      0.94      48.72       0.88    0.000116357   1.031029   CONVERGED         5385.04     0.009807   0.000092 231429325.69    70
       8       113493     239.92      0.46      67.34       0.40    0.000101670   1.472886   CONVERGED        69608.23     0.009949   0.000084 3423635991.51    70
       9        12148     137.61      0.63      32.61       0.60    0.001205714   1.743047   CONVERGED         7823.04     0.013804   0.000957  32480737.71    50
      10         6387     242.44      2.32      73.86       2.03    0.000573762   0.946218   CONVERGED         3644.09     0.010000   0.000539  31776180.06    70
      11         9238     134.05      1.56      34.59       1.13    0.000111834   1.109131   CONVERGED         4665.39     0.023171   0.000283 208608196.91    70
      12        51757     156.55      0.67      45.14       0.53    0.000507987   1.928272   CONVERGED        33599.20     0.014499   0.000433 330878162.19    70
      13        42017     267.41      0.72      74.51       0.66    0.000434366   1.621006   CONVERGED        29588.89     0.009946   0.000241 340756258.44    70
      14       119827     234.06      0.51      68.33       0.43    0.000030084   1.591738   CONVERGED        69951.49     0.009697   0.000028 11626600927.77    70
      15        78143     222.94      0.48      65.05       0.51    0.100000000   1.383794   CONVERGED        52941.24     0.012360   0.065988   2928179.80    70
      16         6528     227.55      2.01      53.03       1.72    0.000091712   0.877839   CONVERGED         3318.81     0.011421   0.000143 180953016.12   100
      17        54731     211.21      0.51      56.87       0.45    0.005277088   1.572997   CONVERGED        37069.55     0.011055   0.003660  35311281.76    70
      18        84623     235.07      0.62      61.43       0.53    0.000102502   1.111410   CONVERGED        51642.57     0.008314   0.000082 2519376243.39   100
      19        53904     121.27      0.61      41.35       0.41    0.000108741   1.719641   CONVERGED        43236.68     0.006176   0.000005 1988302168.87    90
      20         9379     237.64      1.37      57.78       1.26    0.000711116   1.183131   CONVERGED         4847.60     0.009566   0.000809  34109741.43    70
      21         8963     181.16      1.63      47.32       1.32    0.000717767   0.898626   CONVERGED         4468.33     0.013931   0.001132  31149105.69    70
      22         8453     147.15      1.13      40.21       0.95    0.000128090   1.656072   CONVERGED         5608.60     0.011746   0.000087 218960797.01    55
      23        61158     236.01      0.43      61.93       0.46    0.099999998   1.711522   CONVERGED        44258.63     0.011606   0.055320   2448391.06    70
      24        75561     249.49      0.50      68.26       0.41    0.000230075   1.293747   CONVERGED        48431.91     0.009333   0.000177 1052780918.22    70
      25        13233     187.93      1.68      56.66       1.36    0.000021969   1.102458   CONVERGED         6999.56     0.011379   0.000024 1593109647.02    70
      26        11850     161.21      1.20      39.20       0.99    0.000018619   1.314863   CONVERGED         5448.87     0.015020   0.000035 1463310525.85    70
      27        57221     106.93      0.22      25.11       0.20    0.000129732   9.580765   CONVERGED        40512.71     0.016607   0.000083 1561599662.05    40
      28       108554     230.69      0.33      58.95       0.30    0.000217082   2.749494   CONVERGED        74824.69     0.009462   0.000125 1723803773.87    70
      29        62796     274.59      0.50      69.13       0.48    0.000026470   1.344484   CONVERGED        42566.19     0.007996   0.000015 8040573841.36    70
